STATE,DAY_WEEK,LIGHT,WEATHER,ROAD_TYPE,VEHICLES,PERSONS,DRUNK_DRIVERS,FATALSUM
1,5,2,1,1,1,1,0,10
1,5,1,1,1,2,3,0,5
1,6,1,1,1,1,1,0,13
1,6,2,1,1,1,2,0,1
1,1,1,10,2,2,3,0,1
1,2,3,1,2,1,1,0,5
1,2,2,1,1,1,1,0,8
1,3,1,10,1,2,1,0,1
1,3,1,10,1,1,1,0,3
1,3,2,1,1,1,2,1,3
1,5,3,2,1,1,1,0,1
1,7,2,1,1,1,2,0,5
1,7,1,1,1,2,3,0,4
1,2,1,1,1,2,3,0,3
1,2,3,1,2,2,3,1,1
1,3,3,1,1,1,1,0,3
1,4,1,1,1,3,3,0,1
1,6,1,1,1,2,2,0,7
1,1,3,10,1,1,1,0,1
1,2,1,1,1,1,1,0,7
1,4,1,10,1,1,3,0,1
1,5,1,1,1,1,1,0,14
1,7,3,10,2,1,2,0,1
1,4,2,10,1,1,1,1,1
1,5,1,10,2,1,1,0,2
1,7,1,1,1,1,3,0,1
1,3,1,1,1,2,1,0,1
1,5,1,2,1,1,1,0,1
1,6,3,2,2,1,2,0,1
1,6,1,2,2,3,6,0,1
1,7,1,1,1,1,2,0,8
1,2,2,1,1,2,2,0,1
1,1,1,2,1,2,2,0,1
1,6,1,10,1,1,1,0,4
1,1,1,1,2,1,1,0,6
1,1,2,1,1,1,1,0,10
1,6,2,1,1,2,2,0,6
1,6,2,1,1,2,3,0,4
1,2,1,1,1,2,2,0,8
1,4,4,1,1,1,1,0,1
1,6,1,1,2,2,2,0,4
1,7,1,1,1,2,2,0,4
1,3,4,1,1,2,2,0,1
1,5,2,10,2,1,1,0,2
1,5,1,10,1,2,3,0,1
1,6,3,1,2,1,2,1,1
1,7,5,10,1,1,1,1,1
1,2,1,1,1,2,5,0,4
1,3,1,1,1,1,3,0,3
1,4,1,1,1,2,5,0,6
1,5,2,1,2,1,1,0,6
1,6,1,2,1,2,2,0,3
1,7,3,1,1,2,4,0,2
1,7,2,1,2,1,1,0,8
1,5,3,2,2,3,2,0,1
1,2,2,1,1,2,3,0,2
1,7,2,1,1,2,6,0,5
1,2,1,1,1,1,5,0,1
1,1,5,1,1,1,1,0,2
1,1,2,1,2,1,2,0,2
1,5,3,1,1,2,2,0,1
1,5,2,10,1,1,1,0,1
1,5,3,1,1,2,4,1,1
1,2,1,1,1,2,4,0,3
1,1,1,1,1,1,1,0,7
1,2,3,1,1,2,2,0,1
1,2,1,1,2,1,1,0,3
1,4,1,2,1,1,4,0,1
1,5,9,99,1,1,1,0,1
1,6,1,1,1,2,3,1,1
1,1,1,1,8,1,1,0,4
1,3,2,10,2,2,3,1,1
1,7,1,1,1,2,6,1,1
1,6,1,1,1,1,2,0,6
1,3,1,1,1,2,5,0,1
1,5,1,1,2,2,2,1,1
1,7,2,1,1,2,3,0,3
1,3,1,1,2,2,4,0,4
1,1,2,1,1,2,3,0,3
1,6,2,1,1,1,1,1,2
1,2,1,1,1,1,3,0,2
1,4,1,10,1,1,1,0,4
1,7,1,1,1,2,4,0,1
1,2,5,1,1,2,2,0,2
1,7,3,10,1,2,2,0,1
1,1,2,1,1,3,4,0,1
1,4,2,1,1,2,3,0,2
1,7,2,1,1,3,6,0,1
1,2,3,1,2,1,2,0,1
1,2,3,1,8,1,1,0,1
1,3,1,1,8,1,2,0,2
1,5,2,2,8,1,1,1,1
1,7,2,10,8,2,6,0,1
1,3,5,1,8,1,1,0,1
1,6,2,1,8,1,2,0,1
1,6,4,1,8,1,1,0,2
1,7,2,10,8,1,1,0,1
1,3,1,10,8,1,3,0,1
1,3,3,1,8,1,3,0,2
1,4,5,2,8,1,2,0,1
1,5,1,1,8,1,1,0,3
1,5,2,1,8,1,1,0,2
1,5,2,1,8,2,2,1,1
1,6,1,1,8,1,1,0,2
1,6,2,1,8,1,1,0,2
1,7,1,1,8,2,3,0,1
1,6,1,1,8,2,2,0,1
1,2,1,10,2,1,1,0,1
1,3,1,1,8,1,1,0,2
1,5,3,1,2,2,4,1,3
1,5,1,1,2,1,1,0,4
1,5,1,10,1,2,2,0,2
1,7,2,1,1,2,3,0,3
1,6,5,1,2,5,5,0,2
1,6,2,10,2,1,1,0,6
1,7,2,1,1,1,1,1,5
1,4,3,1,1,1,1,0,1
1,5,3,2,2,1,1,0,1
1,5,3,1,2,1,1,0,3
1,5,1,10,2,5,6,0,2
1,6,1,1,1,2,2,1,3
1,7,2,1,2,1,1,1,2
1,7,3,1,2,1,1,0,5
1,4,1,2,1,2,2,0,1
1,3,1,1,8,2,3,0,1
1,5,3,1,8,1,1,0,1
1,7,2,1,8,1,3,0,1
1,7,1,1,8,1,1,0,1
1,1,3,1,8,1,1,0,1
1,1,1,1,8,2,3,0,1
1,1,1,1,8,2,4,0,1
1,2,1,1,8,2,1,0,1
1,4,5,1,8,1,1,0,1
1,4,1,1,8,1,1,0,1
1,5,2,1,8,1,2,0,1
1,5,1,1,8,3,3,0,1
1,5,1,1,8,2,5,0,1
1,5,1,1,8,2,2,0,1
1,6,3,1,8,1,1,0,1
1,6,3,1,8,1,2,0,1
1,6,1,1,8,1,2,1,1
1,1,3,1,8,2,2,0,1
1,2,1,1,8,1,1,0,2
1,3,2,1,8,1,2,0,1
1,7,1,10,8,1,1,0,1
1,1,2,10,8,1,1,0,1
1,1,1,10,8,1,1,0,1
1,7,2,1,1,2,1,0,1
1,6,1,1,2,2,4,0,2
1,7,1,2,1,1,6,0,1
1,4,3,1,2,1,3,0,1
1,4,1,1,1,2,3,0,7
1,7,1,10,2,1,1,1,1
1,6,2,2,1,1,2,0,1
1,1,1,2,1,2,4,0,1
1,2,1,1,1,1,2,0,1
1,3,1,1,1,1,2,0,3
1,3,1,1,2,2,2,0,3
1,4,1,1,1,2,5,0,6
1,4,2,1,2,1,2,0,1
1,7,2,1,1,1,2,1,2
1,7,1,1,1,1,2,0,8
1,1,1,1,1,1,1,1,2
1,2,2,10,2,1,1,0,2
1,1,4,1,8,1,1,0,1
1,1,3,10,8,4,7,0,1
1,5,1,1,8,1,2,0,2
1,1,1,1,8,1,2,0,1
1,1,2,10,8,1,5,1,2
1,5,2,1,1,2,2,1,1
1,5,2,1,1,1,2,1,2
1,5,1,1,1,2,4,0,5
1,6,1,1,1,1,1,1,2
1,6,2,1,1,2,2,2,1
1,7,2,10,1,2,2,0,1
1,5,4,1,1,1,1,0,1
1,6,1,1,2,1,1,0,4
1,7,2,1,2,2,3,0,2
1,1,1,1,1,2,4,1,2
1,1,1,1,1,1,2,0,3
1,2,4,1,1,1,1,0,1
1,5,1,1,1,3,5,0,1
1,6,1,1,1,2,3,0,7
1,6,2,1,1,3,1,0,1
1,6,1,1,2,2,2,1,1
1,7,1,1,2,2,2,0,2
1,2,1,10,1,2,4,0,2
1,3,1,10,2,3,3,0,1
1,7,1,1,2,1,1,0,4
1,6,1,10,1,3,4,0,1
1,1,1,2,2,1,1,0,2
1,3,3,10,2,1,1,0,1
1,2,1,10,2,2,2,0,1
1,3,1,10,2,2,4,0,1
1,6,1,1,1,1,3,0,1
1,5,1,1,2,2,2,0,3
1,4,1,1,1,2,2,0,4
1,6,2,1,1,1,5,0,1
1,1,2,1,1,2,5,1,3
1,1,3,1,2,2,5,0,3
1,7,1,10,1,2,2,0,1
1,6,3,1,1,2,2,0,1
1,5,5,10,1,2,3,1,1
1,7,1,1,1,2,6,0,3
1,5,1,1,1,1,2,0,1
1,4,1,10,1,2,2,0,1
1,3,1,1,1,2,2,0,8
1,6,1,1,2,1,3,0,2
1,1,3,10,2,2,3,0,1
1,2,1,10,1,2,3,0,2
1,5,3,1,2,1,4,0,1
1,7,3,1,2,2,3,1,1
1,1,2,1,2,2,2,1,1
1,2,2,1,1,1,2,0,1
1,3,2,10,2,1,1,0,1
1,4,1,1,2,1,2,0,1
1,6,1,1,2,4,10,0,1
1,7,2,1,2,2,4,0,1
1,7,2,5,1,1,1,0,1
1,1,1,1,1,1,2,0,3
1,6,3,1,2,2,2,0,1
1,4,1,10,2,1,2,0,1
1,3,9,99,2,1,1,0,1
1,1,2,1,2,2,6,0,2
1,2,1,10,1,1,3,0,1
1,6,1,1,1,1,4,0,2
1,3,1,1,2,2,3,1,2
1,3,1,10,2,2,2,0,2
1,4,1,10,2,2,2,0,1
1,2,1,1,2,2,2,1,1
1,1,2,1,2,1,1,1,1
1,2,1,1,1,2,6,0,5
1,4,2,1,2,1,1,1,2
1,7,2,10,2,1,1,0,1
1,7,1,1,2,2,6,1,1
1,7,2,10,1,1,3,0,1
1,1,2,1,2,1,1,0,2
1,2,2,10,1,1,1,0,1
1,2,2,10,2,1,2,0,2
1,3,1,10,2,2,3,0,1
1,4,1,1,1,3,1,0,1
1,5,1,1,2,2,3,0,3
1,2,1,10,1,2,2,0,3
1,2,1,1,2,3,3,0,1
1,3,4,1,2,1,1,0,1
1,6,2,10,1,1,2,0,1
1,1,2,1,2,3,6,1,1
1,1,4,1,2,2,2,0,1
1,1,2,1,1,1,4,0,2
1,5,1,1,2,1,2,0,1
1,6,1,2,2,2,2,0,1
1,7,3,2,2,2,2,0,1
1,1,1,1,2,1,2,0,2
1,7,2,1,2,1,5,0,1
1,4,1,1,2,1,1,0,3
1,7,3,1,2,4,5,1,1
1,6,2,10,1,1,1,1,1
1,3,1,10,1,3,3,0,1
1,4,1,10,2,2,3,0,1
1,6,1,2,2,2,7,0,1
1,7,1,10,1,1,1,0,2
1,7,1,10,1,2,5,0,5
1,7,1,2,1,2,2,1,1
1,1,2,10,1,2,5,0,1
1,2,2,1,1,1,2,1,1
1,3,3,2,2,1,2,0,1
1,5,2,1,2,2,4,0,2
1,7,2,10,1,1,1,0,2
1,7,2,2,2,1,1,0,1
1,7,2,10,1,1,1,1,1
1,7,3,2,2,1,1,0,1
1,7,3,10,1,1,3,0,1
1,2,3,1,2,2,2,0,1
1,3,2,1,2,1,1,0,3
1,1,1,1,2,2,2,0,3
1,1,1,1,2,1,1,1,1
1,4,2,1,1,2,2,1,1
1,3,2,1,1,1,3,1,1
1,3,1,1,1,2,3,0,8
1,4,6,99,2,1,1,0,1
1,4,1,1,1,2,4,0,1
1,1,1,1,1,1,3,0,2
1,1,3,1,1,2,5,0,3
1,4,2,1,1,1,2,0,2
1,5,2,1,1,1,1,1,1
1,5,1,1,1,4,5,1,2
1,1,1,1,2,2,2,0,3
1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,6,0,1
1,2,2,10,2,1,1,1,1
1,2,3,1,2,3,5,1,1
1,4,5,1,1,1,1,0,1
1,7,2,1,2,2,3,1,3
1,7,2,1,1,2,2,0,2
1,1,2,1,1,1,2,0,1
1,7,2,1,2,2,2,0,1
1,2,2,10,1,2,2,1,1
1,3,4,10,1,3,9,0,1
1,2,1,1,2,2,6,0,1
1,6,1,1,1,3,9,1,2
1,6,1,1,1,1,2,1,1
1,1,1,10,1,1,1,1,1
1,1,1,2,1,1,2,0,1
1,1,2,1,1,2,2,0,2
1,2,3,1,2,1,3,0,1
1,3,1,1,1,2,3,0,8
1,4,1,1,2,3,6,0,2
1,7,1,2,2,2,3,0,1
1,7,3,1,2,1,3,0,2
1,7,1,2,2,1,3,0,1
1,7,3,10,1,1,2,0,1
1,1,2,1,2,4,7,0,1
1,7,3,1,2,4,6,0,1
1,5,3,1,2,2,2,0,2
1,4,1,1,2,2,6,0,1
1,5,2,1,2,2,2,0,2
1,1,1,1,1,4,4,0,1
1,2,1,1,2,1,2,0,1
1,6,1,1,2,2,3,0,3
1,7,1,2,2,2,4,0,1
1,1,2,10,1,2,2,0,2
1,5,2,10,2,1,2,0,1
1,3,3,1,2,2,3,0,2
1,4,4,1,1,2,2,0,1
1,7,2,1,1,1,7,1,1
1,3,1,1,2,2,4,0,4
1,3,2,1,1,1,2,0,1
1,5,1,1,1,2,3,0,5
1,5,5,1,1,2,4,0,1
1,6,2,5,2,1,1,1,1
1,7,3,1,2,1,2,1,1
1,7,4,1,2,1,2,0,1
1,3,1,1,2,1,1,0,3
1,5,1,1,1,1,3,0,1
1,6,2,1,2,1,2,0,1
1,7,2,1,1,1,7,0,2
1,2,2,1,2,1,1,0,2
1,2,1,1,2,2,2,0,2
1,2,1,1,1,2,4,0,3
1,5,2,1,1,1,3,1,1
1,6,9,1,1,1,1,0,1
1,6,3,1,1,1,1,1,1
1,1,2,10,1,1,3,0,1
1,2,2,1,2,1,2,0,1
1,3,3,1,2,1,1,0,1
1,3,1,1,2,2,3,0,2
1,6,2,1,2,2,3,0,1
1,6,3,1,2,8,1,0,1
1,1,1,10,1,3,3,0,1
1,1,1,1,2,2,1,0,1
1,1,2,1,1,2,5,1,3
1,1,1,1,1,1,8,0,2
1,4,2,1,1,2,2,0,1
1,6,2,10,2,2,2,0,2
1,6,5,1,1,1,3,0,1
1,6,2,1,1,1,4,0,1
1,7,3,1,1,1,5,0,1
1,7,2,1,1,1,4,1,1
1,1,1,1,1,3,10,0,1
1,5,5,1,1,1,1,0,1
1,6,3,1,2,1,1,0,3
1,7,2,1,1,2,4,0,1
1,1,1,1,1,2,2,0,1
1,3,2,1,1,2,3,0,1
1,1,2,1,1,1,2,1,2
1,3,3,1,2,1,1,1,1
1,4,6,1,2,1,1,0,1
1,5,4,1,2,1,1,0,1
1,5,1,1,2,1,3,0,1
1,6,1,1,1,2,3,0,7
1,7,1,1,1,3,5,1,2
1,7,3,1,2,2,4,1,1
1,1,2,10,2,2,2,0,1
1,1,2,1,1,2,7,0,1
1,1,3,1,2,1,1,0,4
1,2,1,1,2,3,4,0,1
1,4,2,1,1,1,1,0,2
1,5,2,1,2,1,2,0,1
1,1,2,1,2,1,2,1,1
1,2,2,10,2,2,3,0,1
1,3,2,1,2,1,1,1,1
1,5,1,1,2,6,7,0,1
1,6,3,1,2,2,2,1,1
1,3,2,1,2,1,2,0,1
1,4,3,1,2,2,4,0,1
1,5,2,1,1,2,4,0,1
1,6,2,10,2,1,1,1,1
1,1,9,1,2,1,1,0,1
1,4,2,1,1,1,2,1,1
1,1,3,1,2,1,1,0,4
1,4,4,1,2,1,2,0,1
1,1,1,2,1,1,1,0,1
1,2,1,2,1,1,2,0,1
1,4,4,5,1,2,2,0,1
1,7,3,1,2,1,2,0,1
1,2,5,1,2,2,2,0,1
1,1,2,10,1,1,1,1,2
1,3,5,10,1,1,1,0,1
1,4,1,2,1,1,1,0,3
1,4,2,10,2,2,2,0,1
1,4,2,10,1,1,2,0,1
1,4,2,10,2,1,1,0,1
1,1,2,2,1,1,1,0,1
1,1,3,2,2,2,3,1,1
1,1,1,1,1,3,4,0,1
1,7,1,1,1,2,7,0,2
1,2,2,1,1,2,5,1,2
1,4,1,1,1,3,5,0,2
1,3,1,2,1,2,2,0,1
1,3,2,2,1,1,1,0,1
1,4,3,1,2,2,2,0,1
1,4,1,10,1,1,5,0,1
1,4,1,1,2,2,4,0,1
1,3,2,5,1,5,5,0,1
1,6,1,1,2,2,5,0,1
1,6,1,1,1,2,2,1,3
1,6,2,1,2,2,5,0,1
1,1,4,1,1,1,1,0,1
1,2,2,2,1,2,2,0,1
1,3,3,10,1,1,7,0,5
1,5,2,1,2,3,4,0,1
1,7,1,10,1,2,3,0,1
1,7,3,99,2,1,1,1,1
1,1,3,2,1,3,5,0,1
1,3,1,10,1,2,2,0,1
1,4,2,5,2,2,2,0,1
1,4,1,1,2,2,5,0,1
1,5,1,10,2,2,2,0,1
1,5,1,10,2,2,3,1,1
1,6,3,10,2,1,2,0,1
1,6,3,10,2,5,12,0,2
1,7,2,10,2,1,3,1,1
1,1,3,1,2,2,2,0,1
1,3,3,10,2,1,2,0,1
1,3,1,10,2,3,6,0,1
1,4,2,10,1,1,1,0,1
1,4,2,10,2,1,2,0,1
1,7,2,2,1,1,4,1,3
1,7,1,10,1,1,2,0,2
1,1,1,10,2,1,1,0,1
1,3,2,1,2,2,2,0,1
1,7,1,1,1,2,10,0,4
1,3,1,10,1,1,4,0,3
1,3,1,10,1,1,4,0,3
1,1,3,1,2,1,1,1,1
1,7,1,1,8,2,2,0,1
1,7,1,1,1,1,3,1,1
1,1,2,5,1,1,4,0,1
1,7,1,1,1,2,6,0,3
1,6,5,10,2,3,4,1,1
1,3,3,1,2,5,9,1,1
1,7,2,2,2,2,2,1,1
1,5,2,1,2,3,3,2,1
1,1,4,1,1,1,6,0,1
1,2,1,1,1,4,10,0,1
1,1,1,2,1,1,4,0,1
1,7,3,1,2,4,7,0,1
1,6,1,1,1,1,5,0,1
1,3,1,1,1,3,4,0,1
1,7,5,10,2,2,5,1,1
1,3,1,10,1,1,2,0,4
1,7,1,10,1,2,5,0,5
1,6,2,1,1,2,2,0,6
1,7,2,1,1,2,2,1,1
2,6,3,1,2,2,4,1,1
2,2,2,1,1,2,3,0,1
2,1,3,1,2,2,5,1,1
2,1,5,1,2,1,3,0,1
2,2,2,1,1,2,2,0,1
2,3,3,1,6,1,1,0,1
2,6,3,10,2,1,1,1,1
2,2,1,1,1,1,1,0,1
2,6,3,10,2,1,1,0,1
2,2,1,1,2,2,2,1,1
2,6,1,1,2,2,2,0,1
2,4,1,10,2,5,5,1,1
2,6,1,1,1,1,1,0,1
2,6,1,10,1,3,10,0,2
2,7,1,1,1,1,1,1,1
2,4,1,10,2,2,3,0,1
2,7,2,10,1,1,1,1,1
2,5,2,1,1,2,2,1,1
2,6,1,1,2,1,1,0,1
2,2,1,10,1,1,1,1,1
2,3,9,99,1,1,1,1,1
2,2,4,2,2,1,1,1,1
2,3,1,10,1,1,1,0,1
2,1,1,2,1,1,1,0,1
2,6,9,1,1,1,2,0,1
2,3,1,1,1,1,10,1,3
2,6,2,1,1,1,2,1,1
2,7,1,10,2,1,1,0,1
2,3,1,1,1,1,2,0,1
2,4,3,10,2,1,6,1,1
2,5,1,1,1,1,1,0,1
2,1,1,2,1,1,1,1,1
2,2,1,1,1,1,4,1,2
2,3,1,1,2,2,2,0,1
2,5,1,10,1,1,1,0,1
2,4,1,10,1,1,1,0,1
2,2,1,2,1,1,1,1,1
2,4,3,1,2,1,5,1,1
2,7,2,2,1,1,1,1,1
2,2,1,10,1,2,3,0,2
2,6,1,2,1,1,1,0,1
2,7,1,1,1,2,3,1,2
2,2,9,99,1,1,1,1,1
2,6,2,2,2,2,3,1,1
2,7,3,2,2,1,1,0,1
2,3,1,1,1,1,2,1,1
2,3,3,2,1,1,2,1,1
2,4,2,10,1,1,2,0,1
2,5,1,8,1,1,2,0,1
2,2,1,1,1,2,4,0,1
2,2,3,2,2,1,1,0,1
2,7,2,1,1,1,1,1,3
2,1,2,10,1,1,1,1,1
2,1,3,2,2,1,3,0,1
2,1,1,10,2,2,6,0,1
2,6,3,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
2,7,1,4,1,1,1,1,1
2,5,2,1,1,2,3,0,1
2,7,1,4,1,2,3,0,1
2,4,2,1,1,1,3,0,1
2,5,3,10,2,2,3,0,1
2,1,3,10,2,1,1,0,1
2,3,1,10,2,4,9,0,1
2,3,1,1,1,1,1,0,1
2,3,1,1,2,3,5,0,1
2,4,2,10,1,2,2,1,1
2,1,2,1,2,2,3,2,1
2,1,6,1,2,1,1,1,1
2,5,2,1,2,1,1,1,1
2,5,1,1,1,2,2,0,1
2,3,2,10,2,1,1,0,1
2,6,2,1,2,1,2,0,1
2,6,2,1,1,1,2,0,1
2,6,1,1,2,2,3,0,1
2,7,2,1,1,1,2,0,1
4,7,1,1,1,1,5,1,1
4,7,3,1,2,1,1,0,11
4,1,4,1,1,1,6,0,1
4,5,3,2,2,2,5,0,1
4,1,3,1,2,2,2,1,2
4,7,3,10,2,1,2,0,2
4,1,3,1,2,1,3,1,2
4,2,3,1,2,1,3,0,1
4,4,3,1,2,1,5,1,5
4,5,3,1,2,1,1,0,6
4,6,3,1,2,1,1,1,2
4,1,1,1,1,1,2,0,2
4,2,3,1,2,3,4,1,1
4,3,1,1,2,1,1,0,9
4,6,3,1,2,2,3,1,3
4,6,3,10,2,1,1,0,2
4,7,3,10,2,3,6,0,1
4,1,1,1,2,1,1,0,7
4,1,1,1,2,1,2,1,1
4,1,3,1,2,5,2,1,1
4,2,1,1,1,1,3,1,1
4,3,1,1,1,2,3,0,2
4,5,1,1,2,1,1,0,4
4,5,2,1,1,1,1,0,5
4,7,2,1,2,1,1,1,1
4,4,1,10,1,1,1,0,1
4,5,1,1,2,2,3,0,3
4,6,2,4,1,1,4,0,1
4,7,2,1,1,1,2,0,1
4,7,1,1,1,3,2,0,1
4,6,1,4,1,2,7,0,1
4,2,1,1,2,2,3,0,8
4,3,1,1,1,1,2,0,3
4,5,6,1,2,2,2,0,1
4,5,1,1,1,2,3,0,2
4,6,4,1,1,2,2,0,1
4,6,1,1,2,2,2,0,8
4,6,1,1,2,4,7,0,1
4,2,2,1,2,2,2,1,1
4,3,3,1,2,1,3,0,1
4,4,1,1,2,1,1,1,5
4,1,1,1,1,2,3,0,1
4,2,2,1,2,1,2,0,1
4,3,1,1,2,2,3,0,5
4,3,1,1,2,1,2,0,1
4,4,3,1,2,1,1,0,6
4,6,1,1,1,1,1,0,3
4,6,5,1,2,2,3,1,1
4,7,1,1,1,1,1,0,5
4,7,1,1,2,2,2,0,5
4,7,1,1,2,1,1,0,9
4,1,1,1,2,2,3,0,5
4,1,3,1,2,1,1,0,5
4,2,3,1,2,1,2,1,2
4,2,2,1,1,1,1,0,4
4,5,1,1,1,3,4,0,2
4,2,1,1,1,1,1,0,8
4,2,2,1,1,1,6,1,1
4,6,3,1,2,1,1,0,6
4,2,1,1,2,2,2,0,7
4,7,3,1,2,1,1,1,5
4,1,2,1,1,2,2,1,2
4,2,2,10,2,1,1,0,1
4,3,6,98,1,1,3,0,1
4,4,1,98,2,1,1,0,2
4,5,1,98,2,1,1,0,1
4,6,8,98,2,1,1,0,1
4,6,6,99,2,1,2,0,1
4,7,1,10,2,2,2,0,1
4,1,6,98,2,1,1,0,5
4,4,1,1,2,1,1,0,4
4,5,1,1,2,1,1,1,2
4,3,6,98,2,2,2,0,1
4,4,9,98,2,1,1,0,6
4,4,1,1,2,2,4,0,2
4,5,9,98,2,1,1,0,2
4,6,1,1,2,1,3,0,3
4,1,6,98,2,2,2,1,1
4,2,4,1,2,2,2,0,1
4,3,1,98,2,1,2,0,1
4,5,9,98,9,1,1,0,1
4,1,1,1,2,3,6,0,1
4,3,6,98,2,2,3,0,1
4,5,6,98,2,1,3,0,1
4,6,2,1,1,1,1,0,2
4,3,3,1,2,2,2,1,2
4,7,1,1,2,3,9,0,1
4,1,1,1,1,3,4,0,4
4,6,9,98,1,1,2,1,1
4,1,2,1,2,1,2,1,2
4,6,2,1,1,1,3,0,1
4,2,3,10,2,1,2,1,1
4,3,5,10,1,2,3,0,2
4,5,2,1,2,1,1,0,3
4,6,1,7,2,2,5,0,1
4,6,3,10,2,1,1,1,1
4,7,1,1,1,2,4,0,1
4,7,2,1,2,2,2,1,2
4,1,5,1,2,1,1,1,1
4,1,3,1,2,1,5,0,2
4,2,1,1,2,1,1,0,9
4,2,3,1,2,1,2,0,3
4,3,2,1,1,1,1,0,2
4,4,4,1,1,1,3,0,1
4,5,2,1,1,1,2,1,1
4,5,3,1,2,1,1,1,5
4,7,2,1,1,2,2,0,3
4,4,2,10,2,1,2,1,2
4,5,1,1,1,1,4,0,1
4,1,1,1,2,4,10,0,1
4,1,1,1,2,1,2,0,1
4,1,2,1,1,1,1,0,1
4,6,9,98,2,1,1,0,7
4,2,9,99,1,1,1,0,1
4,4,1,1,2,1,5,0,1
4,6,3,1,2,2,2,1,2
4,7,9,98,2,1,1,1,1
4,7,6,98,2,1,1,0,5
4,1,1,1,1,1,1,1,2
4,2,1,98,1,1,1,0,2
4,2,5,1,2,2,3,0,2
4,6,2,1,1,1,4,0,2
4,6,3,10,2,2,2,0,1
4,6,1,1,1,1,2,0,2
4,2,8,98,1,1,2,1,1
4,1,2,1,2,1,1,1,4
4,2,3,1,2,2,2,0,1
4,7,1,1,2,1,3,0,2
4,1,1,1,1,4,17,0,1
4,2,1,1,1,1,2,0,3
4,4,1,1,1,2,3,1,1
4,6,3,1,2,2,3,0,2
4,6,3,1,1,1,2,0,1
4,7,2,1,1,2,2,0,3
4,4,1,1,1,1,2,0,2
4,4,1,1,2,4,6,0,1
4,4,3,10,2,1,1,0,2
4,6,2,10,1,1,2,0,1
4,7,1,1,1,1,3,1,1
4,7,3,10,2,2,2,1,3
4,1,2,1,1,2,3,1,1
4,1,1,10,2,3,2,0,1
4,2,9,10,2,1,1,1,1
4,3,1,1,2,2,2,0,8
