theme,url,img,lines,author
HUMOR,/inspirational-quotes/8216-i-think-the-next-best-thing-to-solving-a,https://assets.passiton.com/quotes/quote_artwork/8216/medium/20210521_friday_quote.jpg?1621015177,I think the next best thing to solving a problem is finding some humor in it.,<Author:0x00007f0fbc8ca668>
HUMOR,/inspirational-quotes/8215-good-humor-is-the-sunshine-of-the-mind,https://assets.passiton.com/quotes/quote_artwork/8215/medium/20210520_thursday_quote.jpg?1621015156,Good humor is the sunshine of the mind.,<Author:0x00007f0fbc8e67a0>
HUMOR,/inspirational-quotes/8214-laugh-as-much-as-possible-always-laugh-its,https://assets.passiton.com/quotes/quote_artwork/8214/medium/20210519_wednesday_quote.jpg?1621015138,"Laugh as much as possible, always laugh. It's the sweetest thing one can do for oneself & one's fellow human beings.",<Author:0x00007f0fbc920e50>
HUMOR,/inspirational-quotes/8213-you-may-not-be-able-to-change-a-situation-but,https://assets.passiton.com/quotes/quote_artwork/8213/medium/20210518_tuesday_quote.jpg?1621015117,"You may not be able to change a situation, but with humor you can change your attitude about it.",<Author:0x00007f0fbc9639f8>
HUMOR,/inspirational-quotes/6111-into-each-day-put-in-about-one-teaspoonful-of,https://assets.passiton.com/quotes/quote_artwork/6111/medium/20210517_monday_quote.jpg?1621015095,"Into each day, put in about one teaspoonful of good spirits, a dash of fun, a pinch of folly, a sprinkling of play, and a heaping cupful of good humor!
",<Author:0x00007f0fbc986688>
PRACTICE,/inspirational-quotes/7105-practice-puts-brains-in-your-muscles,https://assets.passiton.com/quotes/quote_artwork/7105/medium/20210514_friday_quote.jpg?1620322153,Practice puts brains in your muscles. ,<Author:0x00007f0fbc995138>
PRACTICE,/inspirational-quotes/7107-always-dream-and-shoot-higher-than-you-know-you,https://assets.passiton.com/quotes/quote_artwork/7107/medium/20210513_thursday_quote.jpg?1620322128,Always dream and shoot higher than you know you can do. Do not bother just to be better than your contemporaries or predecessors. Try to be better than yourself. ,<Author:0x00007f0fbc9b8f20>
PRACTICE,/inspirational-quotes/7283-practice-isnt-the-thing-you-do-once-youre-good,https://assets.passiton.com/quotes/quote_artwork/7283/medium/20210512_wednesday_quote.jpg?1620322096,Practice isn't the thing you do once you're good. It's the thing you do that makes you good.,<Author:0x00007f0fbc9ed630>
PRACTICE,/inspirational-quotes/7103-we-are-what-we-repeatedly-do-excellence-then,https://assets.passiton.com/quotes/quote_artwork/7103/medium/20210511_tuesday_quote_updated.jpg?1620766170,"We are what we repeatedly do. Excellence, then, is not an act, but a habit. ",<Author:0x00007f0fbca1f630>
PRACTICE,/inspirational-quotes/8212-everything-we-do-is-practice-for-something,https://assets.passiton.com/quotes/quote_artwork/8212/medium/20210510_monday_quote.jpg?1620322024,Everything we do is practice for something greater than where we currently are.  Practice only makes for improvement.,<Author:0x00007f0fbca57eb8>
COMMUNITY,/inspirational-quotes/7293-if-you-want-to-go-fast-go-alone-if-you-want,https://assets.passiton.com/quotes/quote_artwork/7293/medium/20210507_friday_quote.jpg?1619721175,"If you want to go fast, go alone. If you want to go far, go together.",<Author:0x00007f0fbca7aad0>
COMMUNITY,/inspirational-quotes/3809-never-doubt-that-a-small-group-of-thoughtful,https://assets.passiton.com/quotes/quote_artwork/3809/medium/20210506_thursday_quote.jpg?1619721148,"Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.",<Author:0x00007f0fbcaa34a8>
